ID,カードパック,カード名,属性,カード種別,レアリティ,コスト,攻撃力,HP,効果,効果関数
1,COR,ショーン,Red,Unit Card,Common,3,2,6,,
2,COR,ガイ,Red,Unit Card,Common,3,2,5,＜臨戦＞,rush
3,COR,アクセル,Red,Unit Card,Common,3,2,4,プレイ時：正面のユニットに1ダメージ＜成長＞：3Lv.2：HP+3Lv.3：「攻撃時：正面のユニットに自身の攻撃力分のダメージ」を得る,play:damage_front_unit:1;growth:3
4,COR,トビカガチ,Red,Unit Card,Common,3,2,3,プレイ時：自身を除くランダムな味方ユニット1体の攻撃力+1,play:buff_random_friendly_attack:1
5,COR,ドスランポス,Red,Unit Card,Common,5,3,6,＜臨戦＞＜メモリー＞：4+1/+1、＜シールド＞を得る［メモリー数：0］,rush;memory:4
6,COR,ラングロトラ,Red,Unit Card,Common,3,2,5,撃破：ランダムな敵ユニット1体に2ダメージ,decimate:damage_random_enemy:2
7,COR,リオレイア,Red,Unit Card,Common,7,2,10,＜空戦＞,flight
8,COR,フォレスト・スパイヤー,Red,Unit Card,Common,3,2,4,死亡時：全てのユニットとヒーローに1ダメージ,death:damage_all_units_and_heroes:1
9,COR,ソニック・オストリーグ,Red,Unit Card,Common,4,2,7,＜臨戦＞,rush
10,COR,フレイム・スタッガー,Red,Unit Card,Common,7,2,16,＜重貫通＞初めて攻撃力が5以上になった時：ランダムな敵ユニット1体に10ダメージ＜エナジー＞：攻撃力+1、MP+1・攻撃時：エナジーポイント+2・味方ヒーローアーツ使用時：エナジーポイント+3,heavy_pierce
11,COR,ガンボルト,Red,Unit Card,Common,3,2,5,死亡時：最もHPの低いランダムな敵ユニット1体に1ダメージ＜目覚め＞：敵ユニットに4ダメージを振り分ける,death:damage_lowest_hp_enemy:1
12,COR,キュービィ,Red,Unit Card,Common,5,2,7,＜空戦＞,flight
13,COR,さくら,Red,Unit Card,Rare,5,3,6,プレイ時：正面のユニットに2ダメージ、＜アーツチャージ2＞初めて攻撃力が5以上になった時：全ての味方ユニットに＜圧倒＞（1回攻撃するまで）付与,play:damage_front_unit:2;art_charge:2
14,COR,フェイロン,Red,Unit Card,Rare,4,3,5,プレイ時：激昂を探索攻撃時：敵ヒーローに1ダメージ,attack:damage_enemy_hero:1
15,COR,ラギアクルス,Red,Unit Card,Rare,4,2,5,プレイ時：敵ユニットに5ダメージを振り分ける,play:split_damage_all_enemy_units:5
16,COR,ジンオウガ,Red,Unit Card,Rare,5,2,8,プレイ時：全てのユニットに1ダメージ,play:damage_all_units:1
17,COR,ストーム・イーグリード,Red,Unit Card,Rare,6,1,11,＜空戦＞プレイ時：攻撃力+2（1回攻撃するまで）,flight;play:buff_self_attack_temp:2
18,COR,シャイニング・タイガード,Red,Unit Card,Rare,3,1,10,敵ヒーローにダメージを与えた時：全ての敵ユニットに1ダメージ,play:buff_self_attack_temp:2
19,COR,エンリコ・マリーニ,Red,Unit Card,Rare,5,3,5,＜臨戦＞場に出た時：敵ユニットがいない場合、+1/+2、MP+2死亡時：正面のユニットに3ダメージ,rush;death:damage_front_unit:3
20,COR,ドノヴァン・バイン,Red,Unit Card,Rare,5,2,8,場に出た時：自身を除くランダムな味方ユニット1体の攻撃力+2、自分の手札かEXポケットにあるランダムなユニットカード1枚のMP-1＜連撃＞：1攻撃力+1,enter_field:buff_random_friendly_attack:2
21,COR,レオン・S・ケネディ,Red,Unit Card,Epic,3,2,4,プレイ時：ハンドガンを探索場にいる間：自分のアクションカードとユニットカードのダメージを与える効果+1,
22,COR,カーネル,Red,Unit Card,Epic,5,2,10,味方マシーンユニットが場に出た時：自身の攻撃力+1、＜連撃＞（1回攻撃するまで）を得る場にいる間：自身を除く味方赤ユニットに攻撃力+1、＜臨戦＞付与,
23,COR,バレッタ,Red,Unit Card,Epic,4,2,6,＜臨戦＞場に出た時：敵ユニットに4ダメージを振り分ける,rush;enter_field:split_damage_all_enemy_units:4
24,COR,レディ,Red,Unit Card,Epic,6,2,7,＜対空＞プレイ時：敵ユニットに7ダメージを振り分ける、相手の墓地にあるランダムなユニットを3体まで除外攻撃で破壊時：攻撃力+1、＜連撃＞（1回攻撃するまで）を得る,play:split_damage_all_enemy_units:7
25,COR,宿命に抗う者 リュウ,Red,Unit Card,Legendary,6,3,6,＜臨戦＞＜俊敏＞攻撃時：正面のユニットにこのバトル中に使用したアクションカード枚数分のダメージ［使用回数：0］,agility;rush;attack:damage_front_unit_by_action_count:0
26,COR,怒れる竜王 リオレウス,Red,Unit Card,Legendary,7,3,7,＜空戦＞＜臨戦＞敵ヒーローにダメージを与えた時：ランダムな敵ユニット1体に6ダメージ,flight;rush
27,COR,衝撃波,Red,Action Card,Common,3,,,＜アーツチャージ1＞敵ユニット1体に3ダメージ,damage_target:3;art_charge:1
28,COR,タル爆弾,Red,Action Card,Common,5,,,全ての敵ユニットに1ダメージ敵ヒーローに3ダメージ,damage_all_enemy_units_each:1;damage_enemy_hero:3
29,COR,捨て身の突撃,Red,Action Card,Common,1,,,味方ユニット1体に+2/-2,buff_target_attack:2;damage_self:2
